Name,Difficulty,Difficulty,Solution,Session
Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,easy,reverse_integer.cpp,2
Mini-max-sum,https://www.hackerrank.com/challenges/mini-max-sum/problem,easy,min-max-sum.cpp,2
Homer,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&category=655&problem=1406,icpc,10465(homer).cpp,2
The Trip,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2041,icpc,11100.cpp,2
Torus,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1768,icpc,10827.cpp,2
Jollo,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=3399,icpc,NO SOLUTION,2
How Many Knights,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=637,icpc,NO SOLUTION,2
Mother Bear,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=1886,icpc,NO SOLUTION,2
Magic Square,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=2162,icpc,NO SOLUTION,2
Traffic Lights,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=97,icpc,NO SOLUTION,2
Counterfeit Dollar,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=549,icpc,NO SOLUTION,2
Consanguine Calculations,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=3502,icpc,NO SOLUTION,2
All Integer Average,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=3212,icpc,NO SOLUTION,2
Mobile Casanova,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=3237,icpc,NO SOLUTION,2
