Name,Link,Difficulty,Solution,Session,Contributor
Segments,https://codeforces.com/contest/909/problem/B,codealong,,1,Jacky
Grocery Store,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=643&page=show_problem&problem=2177,easy,11236.cpp,1,Jens
Citizen Attention Offices,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=643&page=show_problem&problem=1601,easy,10660.cpp,1,Jens
Permutation Descent Counts,https://open.kattis.com/problems/permutationdescent,easy,,1,Karthik
Bicolorings,http://codeforces.com/problemset/problem/1051/D,hard,cf_1051D.cpp,1,Pooya
Journey to the Moon,https://www.hackerrank.com/challenges/journey-to-the-moon/problem,codealong,,2,
First Bad Version,https://leetcode.com/problems/first-bad-version/description/ ,easy,First_Bad_Version.cpp,2,Tim
Lotto,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=642&page=show_problem&problem=382,med,441.cpp,2,Jens
Social Circles,https://codeforces.com/problemset/problem/1060/D,med,cf_1060D.py,2,Pooya
BFFs,https://code.google.com/codejam/contest/4304486/dashboard#s=p2,med,largest_BFF.py,2,Jacky
Bread Sorting,https://open.kattis.com/problems/bread,hard,bread.py,2,Chinmay
