Name,Link,Difficulty,Solution,Session,Contributor,Note
Note,We are going to cover Binary Search this week,announcement,,1,,
Note,We are going to cover Binary Search this week,announcement,,2,,
Need for Speed,https://open.kattis.com/problems/speed,easy,speed.py,1,Chinmay,
Suspension Bridges,https://open.kattis.com/problems/suspensionbridges,med,bridges.py,1,Chinmay,
Painter’s Partition 2,https://www.geeksforgeeks.org/painters-partition-problem-set-2/,codealong,,1,Chinmay,
Painter’s Partition,https://www.geeksforgeeks.org/painters-partition-problem/,codealong,,1,Chinmay,
Millionaire Madness,https://open.kattis.com/problems/millionairemadness,med,,2,Chinmay,
Glyph Recognition,https://open.kattis.com/problems/glyphrecognition,med,glyph_recog.py,1,Chinmay,
Glyph Recognition,https://open.kattis.com/problems/glyphrecognition,med,glyph_recog.py,2,Chinmay,
Euclidean TSP,https://open.kattis.com/contests/bqfu9s/problems/euclideantsp,med,euclideantsp.py,2,Chinmay,
LIS,https://leetcode.com/problems/longest-increasing-subsequence/,icpc,leetcode300.cpp,2,Bryon,
Ilya and the Tree,http://codeforces.com/problemset/problem/842/C,icpc,,2,Jacky,
Jumbled String,http://codeforces.com/gym/101933/problem/J,icpc,jumbled_str.py,2,Chinmay,
