Name,Link,Difficulty,Solution,Session,Contributor
Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,med,,1,Blake
Jolly Jumpers,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=979,med,uva10038.cpp,1,Meta
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,med,,1,Junlin
Forming a Magic Square,https://www.hackerrank.com/challenges/magic-square-forming/problem?isFullScreen=false,med,magic.cpp,1,Jens
Ayoub and Lost Array,http://codeforces.com/contest/1105/problem/C,med,,1,Frank
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/ ,med,,1,Tim
Short Story Competition,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&category=24&problem=3926&mosmsg=Submission+received+with+ID+22639424,med,uva12482.cpp,1,Bryon
Substring Removal,https://codeforces.com/contest/1096/problem/B,med,codeforces1096b.py,1,Chris
Polygon for the Angle,https://codeforces.com/contest/1096/problem/C,med,codeforces1096c.py,1,Chris
Note, The problemset will be for the whole week. The difficulty is not accurate and will be updated after Thursday meeting ;),announcement,,1,
Unzipping Your Genes with Machine Learning,http://clubs.uci.edu/acm/#/events,event,,1,Jacky
Girls’ Coding Nights,https://www.facebook.com/events/558100287990483/,event,,1,Meta
